rank,Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +,ratio_200_plus,ratio_50_plus,failed_criteria
1315,5q853P8PLeYiE5PjXg24kQ9nXrf5Qn6r55A9urS4hYF6,13.93%,"$16,800.27","$33,348.30",34.24%,?,[],6.38,https://gmgn.ai/sol/address/5q853P8PLeYiE5PjXg24kQ9nXrf5Qn6r55A9urS4hYF6,1948,70.0,121.0,63.0,30.0,13.0,1.0,2.0,0.008213552361396304,0.023613963039014373,[]
1316,4UGerqtuKCk69cByzgKgy18V9Wj2Y1uh5Ftrk6LBtqtm,11.07%,"$1,382.44","$6,147.89",35.09%,?,[],3.23,https://gmgn.ai/sol/address/4UGerqtuKCk69cByzgKgy18V9Wj2Y1uh5Ftrk6LBtqtm,618,0.0,0.0,25.0,20.0,5.0,0.0,0.0,0.008090614886731391,0.040453074433656956,[]
1317,ETVVyau95psRaM7p6hoTXC7vjRCEdiDubg4TTGRYjBmA,7.36%,"$9,132.16","$8,862.09",66.53%,?,[],11.74,https://gmgn.ai/sol/address/ETVVyau95psRaM7p6hoTXC7vjRCEdiDubg4TTGRYjBmA,2723,0.0,0.0,0.0,27.0,12.0,3.0,7.0,0.008079324274697026,0.017994858611825194,[]
1318,9LrTSnUV3dxw5A4KFAFmsvp8kzYNt8rWvfNUpb7BQaBj,7.25%,"$22,416.51","$41,107.09",45.21%,?,['photon'],1.62,https://gmgn.ai/sol/address/9LrTSnUV3dxw5A4KFAFmsvp8kzYNt8rWvfNUpb7BQaBj,1114,32.0,130.0,100.0,28.0,9.0,0.0,0.0,0.00807899461400359,0.03321364452423698,[]
1319,2k4J6V6hHxnwTZRJeTN2ACZw8QbbVf7AioRuB6BqkaBi,-6.32%,"$6,836.67","$3,968.82",31.71%,?,[],60.42,https://gmgn.ai/sol/address/2k4J6V6hHxnwTZRJeTN2ACZw8QbbVf7AioRuB6BqkaBi,992,88.0,116.0,63.0,25.0,5.0,1.0,2.0,0.008064516129032258,0.03326612903225806,[]
1320,3RdeoKnyqxQwY8qsHGe2nTQfREd1vxr6SU7SE9Ng5AFW,4.41%,"$2,576.36","$2,669.66",32.06%,?,"['bullx', 'trojan']",2.93,https://gmgn.ai/sol/address/3RdeoKnyqxQwY8qsHGe2nTQfREd1vxr6SU7SE9Ng5AFW,1491,0.0,0.0,7.0,31.0,5.0,1.0,6.0,0.008048289738430584,0.028839704896042925,[]
1321,4HS78WRqzZ6Pojq37A8vQx821SscjW5aJZRWuej2ab2j,35.15%,"$34,150.40","$34,150.40",50.00%,?,['pepeboost'],0.37,https://gmgn.ai/sol/address/4HS78WRqzZ6Pojq37A8vQx821SscjW5aJZRWuej2ab2j,749,27.0,33.0,35.0,13.0,5.0,0.0,1.0,0.00801068090787717,0.025367156208277702,[]
1322,B8W6RN3zoQP7UjAss7VhPfAwZN8xwgepZaaNEuP4xaBQ,2.62%,"$7,311.39","$4,032.61",35.75%,?,['photon'],0.06,https://gmgn.ai/sol/address/B8W6RN3zoQP7UjAss7VhPfAwZN8xwgepZaaNEuP4xaBQ,628,95.0,109.0,72.0,19.0,2.0,1.0,2.0,0.007961783439490446,0.03821656050955414,[]
1323,FAHx7CHFiT2Li1xw9KMxMi8xFvaLwfpmL8yqrmWSP3JX,23.31%,"$141,559.10","$191,615.92",53.45%,?,['photon'],93.69,https://gmgn.ai/sol/address/FAHx7CHFiT2Li1xw9KMxMi8xFvaLwfpmL8yqrmWSP3JX,1384,36.0,128.0,87.0,34.0,8.0,1.0,2.0,0.007947976878612716,0.03251445086705202,[]
1324,GyRTRyKKqq9f5pouiwqU2PAXs3rP3SP5NgiaJrUwsTSV,4.32%,"$8,291.72","$8,291.72",66.67%,?,['bullx'],2.89,https://gmgn.ai/sol/address/GyRTRyKKqq9f5pouiwqU2PAXs3rP3SP5NgiaJrUwsTSV,636,3.0,46.0,24.0,8.0,3.0,1.0,1.0,0.007861635220125786,0.020440251572327043,[]
