Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +
2RssnB7hcrnBEx55hXMKT1E7gN27g9ecQFbbCc5Zjajq,92.23%,"$15,117.63","$234,066.09",77.27%,?,['photon'],668.49,https://gmgn.ai/sol/address/2RssnB7hcrnBEx55hXMKT1E7gN27g9ecQFbbCc5Zjajq,54,0,0,2,32,9,4,3
Bh7h8jmPucqYTsNR55tiknomQSzwtjGGAd5ACSGb933Q,7.80%,"$-1,495.47","$16,904.68",42.11%,?,['photon'],37.14,https://gmgn.ai/sol/address/Bh7h8jmPucqYTsNR55tiknomQSzwtjGGAd5ACSGb933Q,91,42,135,93,23,6,0,0
FcJthHhcXgfw8nch8Gr7WZPoz8VcBwNg1Hdo5ThmDHS,8.61%,"$19,806.99","$18,279.85",59.09%,?,['photon'],11.58,https://gmgn.ai/sol/address/FcJthHhcXgfw8nch8Gr7WZPoz8VcBwNg1Hdo5ThmDHS,820,19,106,130,32,2,0,0
3gjmRgaZiu3FoUwux9F8HhqLg2B92jL88j7VyHbxVuKj,22.97%,"$9,986.48","$16,020.05",64.37%,?,[],22.56,https://gmgn.ai/sol/address/3gjmRgaZiu3FoUwux9F8HhqLg2B92jL88j7VyHbxVuKj,152,4,11,23,5,6,1,0
3wmigyPPrAjNpBfVtPyNi3qZ5BLmHhbJ7TBjY2UNw1RT,9.35%,"$2,391.63",$674.98,52.50%,?,['photon'],5.29,https://gmgn.ai/sol/address/3wmigyPPrAjNpBfVtPyNi3qZ5BLmHhbJ7TBjY2UNw1RT,331,54,82,107,29,2,1,0
HhKQma3hUbqQV6f7edSTDVhG4GTAdhm94sXaN4WXgZYA,12.43%,"$50,183.36","$138,731.18",61.79%,?,['bullx'],50.94,https://gmgn.ai/sol/address/HhKQma3hUbqQV6f7edSTDVhG4GTAdhm94sXaN4WXgZYA,1688,16,99,168,17,0,0,0
4vRcY5aZLE93kjssefC7CU82rdNqEAFvWVUzrhmTEpPg,-1.04%,$-41.91,$-41.91,34.04%,?,['trojan'],0.06,https://gmgn.ai/sol/address/4vRcY5aZLE93kjssefC7CU82rdNqEAFvWVUzrhmTEpPg,376,81,107,61,26,6,0,0
HvM69Si84A5Jr6SQiyrJdYradKxPzmy1vD3uA1Trjnpn,11.81%,"$72,390.24","$72,390.24",52.78%,?,['photon'],198.12,https://gmgn.ai/sol/address/HvM69Si84A5Jr6SQiyrJdYradKxPzmy1vD3uA1Trjnpn,1382,10,131,122,33,4,0,0
53CPNHiqSJkFaEF2msjzyaRshYnsgCA19X6D33PsmL2V,39.28%,"$2,905.02","$2,905.02",52.00%,?,['trojan'],28.36,https://gmgn.ai/sol/address/53CPNHiqSJkFaEF2msjzyaRshYnsgCA19X6D33PsmL2V,81,0,24,20,6,0,0,0
8ASxRWwn6wyLgFn3khDXV8eN4D8eZpZWFbbmXV5uVK5v,5.07%,"$10,808.98","$10,808.98",28.80%,?,['photon'],9.49,https://gmgn.ai/sol/address/8ASxRWwn6wyLgFn3khDXV8eN4D8eZpZWFbbmXV5uVK5v,6554,52,157,60,25,4,1,1
BDFMkurHjWM8HCibLRncxaSF8eQ3oJJztPSr4jUEo3nZ,1.77%,"$148,013.56","$517,315.34",55.40%,?,[],170.82,https://gmgn.ai/sol/address/BDFMkurHjWM8HCibLRncxaSF8eQ3oJJztPSr4jUEo3nZ,22693,0,122,178,0,0,0,0
7rsEJsuJpA2MNwDwxmvuEk9S8REM4EKNeZNPqrs5oshs,36.48%,"$4,735.01","$15,262.34",52.73%,?,['bullx'],1.94,https://gmgn.ai/sol/address/7rsEJsuJpA2MNwDwxmvuEk9S8REM4EKNeZNPqrs5oshs,170,61,28,52,26,8,0,5
EoTZmG8Pq52mfg28QXeJ5tWyt5vQjummtj4FXJenTmS6,5.23%,"$8,165.09","$8,165.09",?,?,[],6.01,https://gmgn.ai/sol/address/EoTZmG8Pq52mfg28QXeJ5tWyt5vQjummtj4FXJenTmS6,153,,,,,,,
BnR2f6oT38HmcKTr89YHK2yFUz4XzSDrYiaqHLShgxAG,7.83%,"$48,911.09","$48,294.04",34.54%,?,[],47.33,https://gmgn.ai/sol/address/BnR2f6oT38HmcKTr89YHK2yFUz4XzSDrYiaqHLShgxAG,2389,0,0,1,17,24,5,3
B8iVWXEm7qW7Fyphb8NHWsHk8DebzU2nNGW9vrUhRvfC,60.85%,"$19,797.84","$21,355.89",43.40%,?,['gmgn'],4.86,https://gmgn.ai/sol/address/B8iVWXEm7qW7Fyphb8NHWsHk8DebzU2nNGW9vrUhRvfC,364,18,39,21,10,1,0,1
7bmf25zZkw9iAimRSRPao5eyfcAdDHhZhi3MQNjFxzNK,9.36%,"$7,042.80","$7,042.80",?,?,[],19.31,https://gmgn.ai/sol/address/7bmf25zZkw9iAimRSRPao5eyfcAdDHhZhi3MQNjFxzNK,663,,,,,,,
BHaqw9GDQpgggKcfWCzHjzCcbkuNXC5fA7miuiQJD19,8.44%,$785.77,"$11,552.05",45.30%,?,['photon'],19.06,https://gmgn.ai/sol/address/BHaqw9GDQpgggKcfWCzHjzCcbkuNXC5fA7miuiQJD19,147,0,0,27,16,6,1,0
3mUTeJDJ9k9Ee153mYy2LfCDZfpRSBZhPmbnYwqvXXyh,8.64%,"$25,458.96","$150,944.55",57.14%,?,['gmgn'],8.67,https://gmgn.ai/sol/address/3mUTeJDJ9k9Ee153mYy2LfCDZfpRSBZhPmbnYwqvXXyh,726,3,134,156,7,0,0,0
8VWM3mDnTbgyjhLNrnetP9rptmTR7pfJLUHMwj1Dbc2T,3.05%,"$-40,938.61","$66,095.06",19.23%,?,['photon'],0.33,https://gmgn.ai/sol/address/8VWM3mDnTbgyjhLNrnetP9rptmTR7pfJLUHMwj1Dbc2T,46,58,125,44,18,6,0,1
AuLNLSmnXHRqaCTJjpVNtFnMN397VRgXMVttLGT7mhVT,11.47%,"$82,271.48","$169,633.70",35.33%,?,[],45.26,https://gmgn.ai/sol/address/AuLNLSmnXHRqaCTJjpVNtFnMN397VRgXMVttLGT7mhVT,673,81,107,79,23,5,1,4
5iEt9PrVuR27KctbEkRWLTRpGLwidU7pZ5WA5A3LLiLB,4.45%,"$126,081.73","$162,176.69",?,?,[],6.11,https://gmgn.ai/sol/address/5iEt9PrVuR27KctbEkRWLTRpGLwidU7pZ5WA5A3LLiLB,2013,,,,,,,
qsGR41d3WAdQe3bTTUmE67yqvJMQqg9seuxq3tjmo2P,7.13%,"$31,023.32","$31,023.32",47.40%,?,[],7.34,https://gmgn.ai/sol/address/qsGR41d3WAdQe3bTTUmE67yqvJMQqg9seuxq3tjmo2P,3755,0,155,137,6,2,0,0
5TuiERc4X7EgZTxNmj8PHgzUAfNHZRLYHKp4DuiWevXv,15.06%,"$23,796.42","$23,796.42",36.69%,?,['bullx'],21.53,https://gmgn.ai/sol/address/5TuiERc4X7EgZTxNmj8PHgzUAfNHZRLYHKp4DuiWevXv,632,0,0,25,14,8,0,3
ALPYUJyyWVxnFKJtNQZ2WiNUDZ2RzmYJVXJSXFquZTt1,22.79%,"$30,009.88","$30,009.88",55.93%,?,['bullx'],129.57,https://gmgn.ai/sol/address/ALPYUJyyWVxnFKJtNQZ2WiNUDZ2RzmYJVXJSXFquZTt1,388,15,124,105,40,14,1,1
4rh1GdKZJXjJV8xusWynjC8hNPHkaeUZmyVyETmYAU4m,24.40%,"$289,408.81","$243,390.84",14.09%,?,['photon'],96.61,https://gmgn.ai/sol/address/4rh1GdKZJXjJV8xusWynjC8hNPHkaeUZmyVyETmYAU4m,401,0,0,24,18,5,1,2
5sjr8tbXtH6id5v6EEzyAqfjFe1Ai1ZQ3WhM52tf6kaz,13.87%,"$44,675.93","$188,098.15",68.13%,?,['photon'],57.23,https://gmgn.ai/sol/address/5sjr8tbXtH6id5v6EEzyAqfjFe1Ai1ZQ3WhM52tf6kaz,749,15,100,136,44,4,1,0
FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3,37.04%,"$371,111.48","$387,397.00",34.21%,?,['photon'],72.11,https://gmgn.ai/sol/address/FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3,42,0,0,28,16,3,2,1
ERjCjBRinnL5zGgURC2DneErtqzojV7oNHhqiGnHcXW1,12.10%,"$-202,745.84","$11,514.84",16.67%,?,[],7.22,https://gmgn.ai/sol/address/ERjCjBRinnL5zGgURC2DneErtqzojV7oNHhqiGnHcXW1,298,0,0,25,7,3,0,0
HXXNzi3NcvyRee2ovGpmXsLo1asCDCbTncauWW7FBLZC,34.97%,"$27,054.04","$29,691.29",?,?,[],42.81,https://gmgn.ai/sol/address/HXXNzi3NcvyRee2ovGpmXsLo1asCDCbTncauWW7FBLZC,407,,,,,,,
EGJhrjiC5xnatN1shjatsckw9GNBWC6dadGV4fizYK7p,21.34%,"$276,174.74","$357,401.64",78.29%,?,[],130.48,https://gmgn.ai/sol/address/EGJhrjiC5xnatN1shjatsckw9GNBWC6dadGV4fizYK7p,391,0,0,21,23,5,0,1
G9fmyVHqWS94YRfyQjYVUdf8oPufkoxbUWCLiHJyR8Br,130.37%,"$358,232.51","$1,089,514.86",52.17%,?,['photon'],43.17,https://gmgn.ai/sol/address/G9fmyVHqWS94YRfyQjYVUdf8oPufkoxbUWCLiHJyR8Br,145,0,0,5,23,13,2,7
3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,34.83%,"$236,313.12","$970,838.65",29.21%,?,['photon'],196.89,https://gmgn.ai/sol/address/3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,274,0,0,6,21,15,2,6
8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj,17.50%,"$159,978.79","$1,076,194.57",41.05%,?,[],4040.93,https://gmgn.ai/sol/address/8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj,411,0,0,11,23,14,0,1
2bZuV31edRz9Cwzo41WY1f26LWUDt6LUvzVNt5r7F7qH,17.42%,"$528,817.08","$9,410.99",85.71%,?,[],200.86,https://gmgn.ai/sol/address/2bZuV31edRz9Cwzo41WY1f26LWUDt6LUvzVNt5r7F7qH,220,6,4,6,6,0,0,0
DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,195.76%,"$582,170.05","$1,879,187.22",89.03%,?,"['pump_smart', 'smart_degen', 'photon']",3767.07,https://gmgn.ai/sol/address/DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,366,0,0,0,4,11,4,31
J2Lven3PjvAe5qNXzxjHEyWmQfatJoBnLXH3iq6E6FBx,314.00%,"$196,937.69","$196,937.69",36.36%,?,[],20.71,https://gmgn.ai/sol/address/J2Lven3PjvAe5qNXzxjHEyWmQfatJoBnLXH3iq6E6FBx,94,6,6,4,3,0,0,1
G3K9kWBDUmtnxypFZSzZDdMS9d8GWnZUrbsvobSJkwVG,138.39%,"$208,368.45","$414,598.64",22.73%,?,[],902.90,https://gmgn.ai/sol/address/G3K9kWBDUmtnxypFZSzZDdMS9d8GWnZUrbsvobSJkwVG,77,22,11,4,6,1,0,3
73LnJ7G9ffBDjEBGgJDdgvLUhD5APLonKrNiHsKDCw5B,85.25%,"$647,959.72","$1,768,145.63",76.95%,?,['photon'],1747.30,https://gmgn.ai/sol/address/73LnJ7G9ffBDjEBGgJDdgvLUhD5APLonKrNiHsKDCw5B,643,0,0,0,6,11,2,31
CXgnZtAcpJBJ334C3nodQr1FX9fn8CT1asJMgTYyuE5c,8.29%,"$171,454.66","$298,872.47",43.51%,?,"['gmgn', 'bluechip_owner']",457.89,https://gmgn.ai/sol/address/CXgnZtAcpJBJ334C3nodQr1FX9fn8CT1asJMgTYyuE5c,379,0,0,14,27,6,1,2
